id,floors,stat_area
702580711,4,214
702580734,4,214
702580749,4,214
702580771,5,214
702580779,5,214
702580793,5,214
702580885,3,115
702580890,2,312
702580895,3,115
702580899,2,312
702580904,3,115
702580908,2,312
702581127,4,214
702581144,4,214
702581159,4,214
702581163,4,214
702581171,4,214
702581172,3,213
702581178,3,213
702581183,4,214
702581191,3,213
702581195,4,214
702581204,3,213
702581206,4,214
702581208,3,213
702581214,3,115
702581232,3,115
702581242,3,115
702581251,3,115
702581260,3,115
702581266,3,115
702581270,3,114
702581278,3,114
702581285,3,115
702581287,3,114
702581294,3,115
702581296,3,114
702581301,3,114
702581303,3,115
702581513,3,114
702581515,4,115
702581519,3,114
702581524,3,115
702581528,3,114
702581529,3,115
702581536,3,114
702581539,3,115
702581549,3,115
702581556,4,114
702581570,3,115
702581571,4,114
702581580,4,114
702581587,4,114
702581593,4,114
702581601,3,114
702581615,4,214
702581626,4,214
702581628,3,213
702581639,4,214
702581646,4,214
702581649,3,212
702581657,4,214
702581658,3,212
702581666,4,214
702581669,3,212
702581677,4,214
702581681,3,212
702581687,3,212
702581701,4,214
702581910,3,114
702581921,3,114
702581929,3,114
702581937,3,114
702581945,3,114
702581957,3,114
702581966,3,114
702581975,3,114
702581995,4,114
702582011,4,214
702582029,4,214
702582033,3,213
702582040,3,213
702582047,4,214
702582049,3,213
702582058,3,213
702582059,4,214
702582064,3,213
702582069,3,213
702582071,4,214
702582084,4,214
702582094,5,213
702582103,5,213
702582108,3,213
702582236,4,122
702582251,4,122
702582258,4,122
702582270,3,122
702582277,3,122
702582289,3,122
702582299,3,122
702582338,4,213
702582359,3,213
702582368,6,214
702582385,6,214
702582388,3,213
702582392,3,213
702582398,6,214
702582405,3,212
702582614,3,212
702582616,6,214
702582635,6,214
702582647,6,214
702582659,6,214
702582663,3,213
702582669,6,214
702582673,3,213
702582678,3,213
702582686,3,213
702582695,4,214
702582704,4,214
702582709,5,123
702582720,5,123
702582729,4,123
702582737,4,123
702582742,4,123
702582754,4,123
702582762,4,123
702582772,5,123
702582784,6,122
702582792,6,122
702582798,4,224
702582802,4,122
702582807,4,224
702583011,4,223
702583016,4,122
702583018,4,223
702583026,4,223
702583034,4,223
702583039,6,123
702583044,6,123
702583046,4,223
702583051,4,123
702583055,4,223
702583061,4,123
702583070,6,123
702583078,6,123
702583086,3,123
702583095,6,123
702583115,4,214
702583120,3,213
702583124,4,214
702583128,3,213
702583134,4,214
702583140,3,213
702583147,3,313
702583153,4,214
702583154,3,313
702583155,3,224
702583160,4,214
702583169,4,214
702583171,5,225
702583174,3,313
702583178,5,225
702583182,4,214
702583183,5,225
702583189,3,313
702583192,5,225
702583193,3,212
702583198,3,313
702583206,3,212
702583207,3,313
702583410,3,123
702583415,3,224
702583416,3,123
702583424,5,123
702583427,9,224
702583444,5,224
702583462,2,224
702583474,4,224
702583482,4,114
702583504,5,123
702583512,5,224
702583513,3,212
702583518,5,224
702583520,3,313
702583525,3,212
702583526,5,224
702583535,5,224
702583538,4,313
702583539,3,212
702583546,4,313
702583552,3,212
702583554,4,225
702583558,4,313
702583563,3,212
702583568,4,313
702583578,4,313
702583580,3,212
702583587,3,212
702583592,3,212
702583599,4,313
702583602,3,212
702583604,4,225
702583608,4,313
702583816,4,224
702583817,3,123
702583820,3,112
702583831,3,112
